,Unnamed: 0,Asuncion,Florianopolis,Medellin,Montevideo,Porto Alegre,Quito,Rio de Janeiro,Santiago,Caracas,Categories,Sao Paulo,Bogota,Buenos Aires,Curitiba
0,0,9.2265,9.0595,9.2315,8.183000000000002,9.221000000000002,9.0165,8.32,8.3815,4.9025,Housing,8.316,9.0275,8.812000000000003,9.4295
1,1,9.295000000000002,8.331000000000001,9.315,6.197,8.120000000000001,7.822,7.751,7.237,9.82,Cost of Living,7.823000000000001,9.079999999999998,7.7639999999999985,8.433
2,2,2.207,1.0,4.618,2.863,2.6705,2.8575000000000013,4.823,6.2305,3.0535,Startups,6.6225000000000005,5.7085,4.672999999999999,2.912
3,4,0.645,0.6829999999999999,0.928,1.183,0.9655,0.8900000000000001,1.493,2.5355,1.3235,Travel Connectivity,2.2655,1.889,3.77,0.8900000000000001
4,5,4.968750000000001,4.78775,5.3545,5.287999999999999,5.105,4.789250000000001,4.55325,5.550999999999998,4.544250000000001,Commute,4.412000000000001,4.9639999999999995,4.9235,4.950250000000001
5,6,3.6839999999999997,2.781,6.348666666666665,7.943999999999997,2.781,3.021333333333333,4.036666666666666,7.765,1.0,Business Freedom,2.781,6.348666666666665,4.045333333333334,2.781
6,7,6.9345,6.525,7.477,5.9735000000000005,5.2955,6.9689999999999985,5.2955,6.9645,5.221,Safety,5.2955,6.222000000000001,6.0395,5.9465
7,8,4.891333333333333,5.218666666666668,5.452333333333333,6.3646666666666665,5.499666666666666,5.324,4.996666666666666,7.231666666666666,4.241333333333333,Healthcare,5.4623333333333335,5.1389999999999985,6.1066666666666665,5.579333333333333
8,10,3.969,4.943999999999999,6.17075,4.545,4.13975,4.1762500000000005,3.32275,4.5280000000000005,2.2725,Environmental Quality,2.6535,4.3475,4.869,7.75725
9,11,4.109,2.187,4.5945,4.416,2.187,3.8855,2.187,3.725,1.9780000000000002,Economy,2.187,4.5945,2.884,2.187
10,12,8.423499999999999,2.8525,1.8515000000000004,4.8285,2.8525,7.5139999999999985,2.8454999999999995,8.929499999999997,4.1800000000000015,Taxation,2.8525,1.8515000000000004,1.568,2.8525
11,13,1.479,3.185,4.1485,2.1785,2.1959999999999997,3.4815,2.338,1.0,1.6415000000000002,Internet Access,3.3895000000000004,2.9760000000000004,1.5275,3.1420000000000003
12,14,5.991999999999999,5.33,5.029,4.9465,7.7035,4.8015,8.6675,7.556000000000001,4.38,Leisure & Culture,8.789499999999999,6.215,7.6735,7.1875
13,15,7.051499999999999,7.637500000000001,9.302,9.71,7.4479999999999995,8.826499999999998,5.771500000000001,7.171500000000001,4.5505,Tolerance,6.8955,8.555499999999999,8.584000000000001,7.848000000000001
14,16,3.4845000000000006,5.751,3.662,5.1785,4.9224999999999985,5.499999999999999,6.151999999999999,5.499999999999999,4.0985,Outdoors,7.0775,7.477,4.535500000000001,2.6655
